,Place,North,South,East,West
0,Uzbekistan,41.32383,41.323629999999994,63.95282174426624,63.952797855733756
1,navoiy,42.0001,41.9999,64.00001206989508,63.999987930104915
2,xorazm,41.290383500000004,41.2901835,60.542865638164024,60.54284176183598
3,samarqand,39.6635028,39.6633028,66.94417263770318,66.94414933084828
4,jizzax,40.1332797,40.133079699999996,67.82341983327075,67.82339636672924
5,moskva,55.7505461,55.750346099999994,37.61751022503357,37.617478374966424
6,Yangibozor,41.3151306,41.3149306,69.52302444267806,69.52300055732192
7,Jizzax,40.1332797,40.133079699999996,67.82341983327075,67.82339636672924
8,sirdaryo,40.373819100000006,40.3736191,68.43412497488704,68.43410142511296
9,termiz,37.2443466,37.24414659999999,67.28316227063439,67.28313972936562
10,Termiz,37.2443466,37.24414659999999,67.28316227063439,67.28313972936562
11,termiz,37.2443466,37.24414659999999,67.28316227063439,67.28313972936562
12,teRmiz,37.2443466,37.24414659999999,67.28316227063439,67.28313972936562
